MENU ,,50 PAX,,100PAX,,250 PAX,,500 PAX
,,,,,,,,
APPETIZERS,,,,,,,,
PANEER,,2KG,,4KG,,6KG,,8KG
VEG,,2KG,,4KG,,6KG,,8KG
,,,,,,,,
CHICKEN ,,4KG,,6KG,,8KG,,10KG
FISH,,2KG,,3KG,,4KG,,6KG
,,,,,,,,
MAIN COURSE ,,,,,,,,
,,,,,,,,
DAL,,2KG,,3KG,,4KG,,6KG
RICE,,4KG,,6KG,,8KG,,10KG
BIRYANI -VEG ,,2KG,,4KG,,6KG,,8KG
BIRYANI - CHICKEN,,2KG,,4KG,,6KG,,8KG
VEG CURRY,,1KG,,2KG,,3KG,,6KG
PANEER CURRY,,1KG,,2KG,,3KG,,6KG
CHICKEN CURRY,,2KG,,4KG,,6KG,,8KG
PRAWN CURRY,,2KG,,4KG,,5KG,,6KG
,,,,,,,,
BREADS,,,,,,,,
NAAN,,200 PC(1PC=50GM),,500PC,,1000PC,,2000PC
ROTI,,200 PC(1PC=50GM),,500PC,,1000PC,,2000PC
,,,,,,,,
DESSERTS,,,,,,,,
INDIAN HALWA,,3KG,,4KG,,6KG,,10KG
WESTERN PASTRY ,,2KG,,3KG,,4KG,,6KG